name,link,knowledgeBaseLink,helpLink
Apex,https://www.apexvs.com/,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Apex,https://servicedesk.acitech.org/support/tickets/new
Canva,https://www.canva.com/login/,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Canva,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/532
Certiport,https://app.certiport.com/portal/login,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Certiport,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/484
Clever,http://clever.com/in/acvsd,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Clever,https://servicedesk.acitech.org/support/tickets/new
Comics Plus,https://login.librarypass.com/?library=atlanticcountyinstituteoftechnologynj&domain=librarypass.com,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Comics,https://servicedesk.acitech.org/support/tickets/new
Conjuguemos,https://conjuguemos.com/auth/login,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Conjuguemos,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/505
CrisisGO,https://crisisgo.net/index.php?r=login&w=ACITechNJ&rnd=692101647,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=CrisisGO,
Ebsco Database,https://search.ebscohost.com/login.aspx?authtype=sso&custid=sjrlc015&groupid=main&profile=ehost,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Ebsco,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/413
Edario,https://www.edario.com/app/login,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Edario,https://servicedesk.acitech.org/support/tickets/new
Edmentum,https://clever.com/oauth/instant-login?client_id=a1b0dea1b35421f32fc7&district_id=57054477dde74301000000fd,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Edmentum,https://servicedesk.acitech.org/support/tickets/new
EdPuzzle,https://edpuzzle.com/schools/join/network/baxkf9,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=EdPuzzle,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/488
