name,link,iconURL,knowledgeBaseLink,helpLink
acitech.org,https://www.acitech.org/,https://www.acitech.org/pics/school_logo.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
ACITeach,https://drive.google.com/drive/folders/1gpXF6c1Knenw9GkPlhdues496soElWHH?usp=sharing,https://img.icons8.com/fluency/48/email-open.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items?all=true
Atlas,https://acitech.rubiconatlas.org/,https://assets.clever.com/resource-icons/apps/58dc00404903911c00cf6fcb/icon_59f7974.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/solutions/folders/23000049985,https://servicedesk.acitech.org/support/catalog/items/511
Classroom,https://classroom.google.com/,https://img.icons8.com/fluency/48/google-classroom.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/catalog/items/541
Classwize (acvsd.nj.us),https://classroom.us-1.familyzone.io/login/mGpiyKZIAt,https://www.softwareworld.co/assets/software/logo/linewize.jpg,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/catalog/items/482
Department Pages,https://sites.google.com/acitech.org/ers/department-pages-remote-instructional-tools,https://img.icons8.com/officel/80/department.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
Drive,https://drive.google.com/drive/my-drive,https://img.icons8.com/color/48/google-drive--v2.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/catalog/items/542
Evaluation Resources,https://sites.google.com/acitech.org/ers/evaluation-resources,https://img.icons8.com/fluency/96/test-partial-passed.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
Faculty Files,https://drive.google.com/drive/folders/0B1Wz4Y3q19fjNERnem9ZODlzajQ,https://img.icons8.com/office/40/hdd.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/catalog/items/542
Freshservice,https://atlanticcountyinstituteofthelpdesk.freshservice.com/login,https://play-lh.googleusercontent.com/DO_MKLF-O6xicguHCr66XMLqHJWFQnLTgOcQ8N9bVDLYJXQwpuYXVzvAQ0fbg8y3iQ,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/solutions/folders/23000049979,
Gemini,https://gemini.google.com/app?utm_source=app_launcher&utm_medium=owned&utm_campaign=base_all,https://img.icons8.com/fluency/96/bard.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
Gmail,https://mail.google.com/,https://img.icons8.com/color/48/gmail-new.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/catalog/items/51
HeroHQ,https://auth.operationshero.com/login,https://operationshero.com/wp-content/uploads/2024/02/Operations-Logo-Square-Transparent.webp,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
PLC,https://sites.google.com/acitech.org/ers/plcs,https://img.icons8.com/doodle/96/learning.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
Realtime,https://secure.realtimesis.com/acitech,https://www.incidentiq.com/wp-content/uploads/2022/09/Realtime-SIS.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/solutions/folders/23000049977,https://servicedesk.acitech.org/support/catalog/items/502
Smartpass,https://clever.com/oauth/instant-login?client_id=f4260ade643c042482a3&district_id=57054477dde74301000000fd,https://play-lh.googleusercontent.com/OTKm3n9VAdpgCS6dRzWT1_BVvhOK1sycogpI-RHSiyY-lg8QpNppx9AZEFvLISQboEho,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/solutions/folders/23000049984,https://servicedesk.acitech.org/support/catalog/items/373
Testing Resources,https://sites.google.com/acitech.org/ers/resources-for-njsla-njgpa-psat-linkit,https://img.icons8.com/color/96/resume.png,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
Knowledge Article Request,https://servicedesk.acitech.org/support/solutions/articles/23000168639-ERS-New-Button-Navigation,https://img.icons8.com/3d-fluency/94/knowledge-sharing.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/543,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/543
Vector - OSHA 10,https://www.careersafeonline.com/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3eqpc3LfNzwQxjit284vlK_BpvbBWyPI50Ps2kJMKdodMUkLhpe_6B8A-&s=10,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
Cambium Assessment,https://nj.tide.cambiumast.com/,https://cdn.schoolblocks.com/3ea93a37-efec-4ad0-b1c4-e7d813d8bf50/pages/images/nhsas-o8w3nd.jpg,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
