name,link,iconURL,knowledgeBaseLink,helpLink
Acitech.org,https://acitech.org,https://img.icons8.com/ios-filled/50/FA5252/osprey.png,,https://servicedesk.acitech.org/support/catalog/items/84
Realtime,https://secure.realtimesis.com/acitech,https://img.icons8.com/office/40/clock--v1.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Realtime,https://servicedesk.acitech.org/support/catalog/items/502
Gmail,https://mail.google.com/,https://img.icons8.com/color/48/gmail-new.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Gmail,https://servicedesk.acitech.org/support/catalog/items/51
Classroom,https://classroom.google.com/,https://img.icons8.com/fluency/48/google-classroom.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Google%20Classroom,https://servicedesk.acitech.org/support/catalog/items/541
Drive,https://drive.google.com/drive/my-drive,https://img.icons8.com/color/48/google-drive--v2.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Google%20Drive,https://servicedesk.acitech.org/support/catalog/items/542
Smartpass,https://clever.com/oauth/instant-login?client_id=f4260ade643c042482a3&district_id=57054477dde74301000000fd,https://img.icons8.com/pulsar-gradient/48/enter-2.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Smartpass,https://servicedesk.acitech.org/support/catalog/items/373
Classwize,https://classroom.us-1.familyzone.io/login/mGpiyKZIAt,https://img.icons8.com/pulsar-gradient/48/my-computer.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Classwize,https://servicedesk.acitech.org/support/catalog/items/482
ACITeach,https://drive.google.com/drive/folders/1gpXF6c1Knenw9GkPlhdues496soElWHH?usp=sharing,https://img.icons8.com/fluency/48/email-open.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=ACITeach,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items?all=true
Atlas,https://acitech.rubiconatlas.org/,https://img.icons8.com/external-outline-andi-nur-abdillah/64/FD7E14/external-book-online-learning-outline-outline-andi-nur-abdillah-7.png,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Atlas,https://servicedesk.acitech.org/support/catalog/items/511
Freshservice,https://atlanticcountyinstituteofthelpdesk.freshservice.com/login,https://img.icons8.com/ios-filled/50/lightning-bolt--v1.png,,
